Name,Address,Lat,Lon
"Press Cafe","4801 Edwards Ranch Rd, Fort Worth, TX",,
"Eatzi's Market & Bakery","1540 S University Dr, Fort Worth, TX",,
"Paloma Suerte","122 E Exchange Ave, Fort Worth, TX",,
"Hudson House","4600 Dexter Ave, Fort Worth, TX",,
"Woodshed Smokehouse","3201 Riverfront Dr, Fort Worth, TX",,
"Quince Riverside","1701 River Run, Fort Worth, TX",,
"Joe T. Garcia's","2201 N Commerce St, Fort Worth, TX",,
"Heim Barbecue","1109 W Magnolia Ave, Fort Worth, TX",,
"Local Foods","1617 Park Place Ave, Fort Worth, TX",,
"Pacific Table","1600 S University Dr, Fort Worth, TX",,
"Maggie's R&R","212 S Main St, Fort Worth, TX",,
"HG Sply Co.","1621 River Run, Fort Worth, TX",,
"Coco Shrimp","3000 Crockett St, Fort Worth, TX",,
"Oishii Sushi","2700 W 7th St, Fort Worth, TX",,
"Pie Tap Pizza Workshop + Bar","2400 W 7th St, Fort Worth, TX",,
"Bricks and Horses","Fort Worth, TX",,
"Hotel Drover Restaurant","200 Mule Alley Dr, Fort Worth, TX",,
"Lucile’s","4700 Camp Bowie Blvd, Fort Worth, TX",,
"Doc B's","5252 Monahans Ave, Fort Worth, TX",,
